,University Name,Department Name,Faculty Directory Homepage
fa19_student,Viriginia Tech,Mechanical Engineering,http://www.me.vt.edu/people/faculty/
fa19_student,Purdue University,Engineering,https://engineering.purdue.edu/Engr/People/ptDirectory
fa19_student,The University of Hong Kong,Electrical and Electronic Engineering,https://www.eee.hku.hk/people/
fa19_student,Harvard University,Bioengineering,https://www.seas.harvard.edu/bioengineering/people
fa19_student,Cornell University ,Computational Biology,https://compbio.cornell.edu/people/faculty/
fa19_student,Eastern Illinois University,Engineering,https://www.eiu.edu/engineering/faculty.php
fa19_student,McNeese State University,Electrical Engineering & Computer Science,https://www.mcneese.edu/sem/eecs/faculty-staff/
fa19_student,University of Puerto Rico -Mayaguez,Computer Science and Engineering,https://www.uprm.edu/cse/faculty/
fa19_student,Northern Arizona University,School of Informatics Computing and Cyber Systems,https://nau.edu/school-of-informatics-computing-and-cyber-systems/faculty/
fa19_student,UMass Lowell,Computer Science,https://www.uml.edu/Sciences/computer-science/faculty/
fa19_student,University of Waterloo,Electrical and Computer Engineering,https://uwaterloo.ca/electrical-computer-engineering/about/people/group/28
fa19_student,University of Missouri,Information Technology,https://engineering.missouri.edu/academics/it/it-faculty/
fa19_student,Western Illinois University,Computer Science,http://www.wiu.edu/cbt/computer_science/contact.php
fa19_student,Queen's University,Electrical and Computer Engineering,https://www.ece.queensu.ca/people/faculty.html
fa19_student,Stanford University,Electrical Engineering,https://ee.stanford.edu/people/faculty
fa19_student,Louisiana State University,Computer Science & Engineering,https://www.lsu.edu/eng/cse/people/faculty/index.php
fa19_student,Rutgers University,Electrical & Computer Engineering,https://www.ece.rutgers.edu/fac
fa19_student,Virginia Tech,Electrical and Computer Engineering,https://ece.vt.edu/people/faculty
fa19_student,California Institute of Technology,Electrical Engineering,http://ee.caltech.edu/people
fa19_student,University of Hawaii at Manoa,Information and Computer Sciences,http://www.ics.hawaii.edu/people/
fa19_student,Prudue University,Computer Science,https://www.cs.purdue.edu/people/faculty/index.html
fa19_student,Northwestern University,Department of Computer Science,https://www.mccormick.northwestern.edu/computer-science/people/faculty.html
fa19_student,University of Wisconsin-Madison,Department of Genetics,https://genetics.wisc.edu/genetics-faculty/
fa19_student,Goldsmiths University of London,Computing,https://www.gold.ac.uk/computing/people/
fa19_student,Truman State University,Computer Science,https://www.truman.edu/majors-programs/majors-minors/computer-science-major/computer-science-faculty-staff/
fa19_student,Columbia Law School,Law school,https://www.law.columbia.edu/faculty?role=103
fa19_student,"UCONN, Connecticut",Computer Science,https://www.cse.uconn.edu/people/faculty/
fa19_student,Northern Illinois University,Engineering,https://www.niu.edu/ceet/about/faculty-and-instructors/index.shtml
fa19_student,University Of Utah,Elelectrical & Computer Engineering,https://www.ece.utah.edu/faculty
fa19_student,FIorida Institute of Technology,Computer Engineering and Sciences,https://www.fit.edu/faculty-profiles/
fa19_student,Yale University,Electrical Engineering,https://seas.yale.edu/faculty-research/faculty-directory
fa19_student,Oregon State University,Robotics,https://robotics.oregonstate.edu/faculty
fa19_student,University of Alberta,Computer Science,https://www.ualberta.ca/computing-science/faculty-and-staff/faculty
fa19_student,"University of California, Santa Barbara",Electrical & Computer Engineering,https://www.cs.ucsb.edu/people
fa19_student,University Of Southern California,Biomedical Engineering,https://bme.usc.edu/directory/faculty/
fa19_student,Carthage College,Computer Science,https://www.carthage.edu/computer-science/faculty/
fa19_student,University of North Carolina at Chapel Hill,Computer Science,https://cs.unc.edu/people-page/faculty/
fa19_student,USC Viterbi,Electrical and Computer Engineering,https://minghsiehece.usc.edu/directory/faculty/
fa19_student,Dartmouth,Computer Science,https://web.cs.dartmouth.edu/people/faculty
fa19_student,UC Berkeley,Computer Science,https://me.berkeley.edu/faculty/faculty-by-research-area/
fa19_student,Washington State University,Electrical Engineering and Computer Science,https://school.eecs.wsu.edu/people/faculty/
fa19_student,"University of California, Los Angeles",Electrical and computer Engineering,https://www.ee.ucla.edu/all-faculty/
fa19_student,Utah State University,Computer Science,https://cs.usu.edu/people/faculty/index
fa19_student,"University of California, Irvine",Computer Science,https://www.cs.uci.edu/faculty/
fa19_student,Saint Francis Xavier University,Computer Science,http://www2.mystfx.ca/computer-science/faculty-staff
fa19_student,NYU Tandon School of Engineering,Computer Science and Engineering,https://engineering.nyu.edu/academics/departments/computer-science-and-engineering/people
fa19_student,Princeton University,Chemical & Biological engineering,https://cbe.princeton.edu/people/faculty
fa19_student,Oregon State University,Electrical Engineering and Computer Science,https://eecs.oregonstate.edu/people/faculty-directory
fa19_student,The University of Texas at Austin,"Civil, Architectural and Environmental Engineering",https://www.caee.utexas.edu/faculty/directory
fa19_student,Ghulam Ishaq Khan Institute of Engineering Sciences and Technology (GIK),Computer Science,https://www.giki.edu.pk/Faculties/FCSEUndergraduate/Profiles
fa19_student,Clark University,Mathematics and Computer Science,https://www.clarku.edu/departments/mathematics-and-computer-science/our-faculty/
fa19_student,Harvard,Applied Mathematics,https://www.seas.harvard.edu/applied-mathematics/people
fa19_student,Northwestern University,Biomedical Engineering,https://www.mccormick.northwestern.edu/biomedical/people/faculty/
fa19_student,Ryerson University,Graduate Computer Science,https://www.ryerson.ca/science/programs/graduate/computerscience/our-faculty/
fa19_student,"California Polytechnic State University, San Luis Obispo",Computer Engineering,https://cpe.calpoly.edu/faculty/
fa19_student,Carnegie Mellon University,Chemical Engineering,https://cmu.edu/cheme/people/faculty/index.html
fa19_student,UC Merced,Computer Science & Engineering (CSE),https://engineering.ucmerced.edu/soe-bylaw-units/computer-science-engineering-cse
fa19_student,Johns Hopkins University,Electrical and Computer Engineering,https://engineering.jhu.edu/ece/faculty/
fa19_student,University of Colorado Colorado Springs,Computer Science,https://www.uccs.edu/cs/about/faculty
fa19_student,Yale,Computational Biology and Bioinformatics,https://medicine.yale.edu/bbs/computational/people/
fa19_student,UC Riverside,Computer Science & Engineering (CSE),https://www1.cs.ucr.edu/people/faculty
fa19_student,The College of New Jersey,Computer Science ,https://computerscience.tcnj.edu/faculty-staff/faculty/
fa19_student,University of Alaska Anchorage,Computer Science & Engineering (CSE),https://www.uaa.alaska.edu/academics/college-of-engineering/departments/computer-science-and-engineering/contact-us.cshtml
fa19_student,Texas Tech University,Computer Science,https://www.depts.ttu.edu/cs/faculty/
fa19_student,UC Davis,Computer Science,https://www.cs.ucdavis.edu/people/faculty/
fa19_student,University of Idaho,Computer Science,https://www.uidaho.edu/engr/departments/cs/our-people/faculty
fa19_student,Cornell University,Cornell Tech,"https://tech.cornell.edu/people/faculty/
"
fa19_student,University of Richmond,Computer Science,https://cs.richmond.edu/faculty/index.html
fa19_student,Worcester Polytechnic Institute,Mechanical Engineering,https://www.wpi.edu/academics/departments/mechanical-engineering/faculty-staff
fa19_student,The University of Texas at San Antonio,Computer Science,
fa19_student,University of Manchester,Computer Science,https://www.cs.manchester.ac.uk/about/people/academic-and-research-staff/
fa19_student,University of Wisconsin-Madison,Computer Science,https://www.cs.wisc.edu/people/faculty/
fa19_student,UMass Amherst,ECE,https://ece.umass.edu/faculty
fa19_student,George Mason University,Information Sciences and Technology,https://ist.gmu.edu/people/faculty/
fa19_student,The University of Texas at Austin,Electrical and Computer Engineering,http://www.ece.utexas.edu/people/faculty
fa19_student,Tel Aviv University,Electrical Engineeringg,https://en-engineering.tau.ac.il/Engineering-Faculty-Home/acstaff
fa19_student,University of Calgary,Computer Science,http://www.ucalgary.ca/cpsc_info/contact-us
fa19_student,UC Berkeley,Chemical & Biomolecular Engineering,https://chemistry.berkeley.edu/faculty/cbe
fa19_student,New York University,Center for Data Science,https://cds.nyu.edu/our-people/faculty/
fa19_student,Rice University,Computer Science,https://csweb.rice.edu/faculty
fa19_student,"University of Florida, Gainesville",Statistics,https://stat.ufl.edu/people/faculty/
fa19_student,The University of Texas at Austin,Mechanical Engineering,http://www.engr.utexas.edu/faculty-directory/departments/me
fa19_student,"University of Michigan, Ann Arbor",Computer Science & Engineering (CSE),https://cse.engin.umich.edu/people/faculty/
fa19_student,Princeton University,Operations Research & Financial Engineering,https://orfe.princeton.edu/people/faculty
fa19_student,University of Missouri,Information Science and Educational Technologies,https://sislt.missouri.edu/faculty/
fa19_student,University of Illinois at Urbana-Champaign,Electrical and Computer Engineering,https://ece.illinois.edu/directory/faculty.asp
fa19_student,Northwestern University,Chemistry,https://www.chemistry.northwestern.edu/people/core-faculty/
fa19_student,Carneige Mellon University,Biomedical Engineering,https://www.cmu.edu/bme/People/Faculty/index.html
